Случайные Галлюцинации
Брось 1к100
01-02	Над вашей головой разверзлась голубая пустота. Вокруг вас кружат стаи радужных птиц.
53-54	Глубокие раны открываются на вашем теле. Будто бы металлические шипы вгоняют прямо в вашу плоть. Раны продолжают увеличиваться и из них начинает сочится темная и вязкая кровь.
55-56	Саранча, цвета бронзы и стали, начинает сочится из пор вашей кожи. Облаком они окружают вас. По пришествию вечности они забираются обратно.
57-58	Слезы из крови и слизи начинают сочится из ваших глаз. Стоит им оторваться от вашего лица, они устремляются к небу.
59-60	По всему вашему телу вскакивают полупрозрачные желтые волдыри. И внутри них шевелятся крошечные существа.
61-65	Вы медленно плывете в бесконечной пустоте. На другом конце что-то циклопической готовится поглотить вас целиком. Сама мысль об этом наполняет вас ужасом.
66-70	Вздувшаяся, фут длиной, личинка, покрытая сотнями черных глаз, выползает из глубин вашей глотки. Пальцы, подобные щупальцам неведомых растений и покрытые мелкой щетиной, окружают сегмент ее головы. Она откидывается на спину и ее желудок разделяется надвое, чистым прямым разрезом, вздутые внутренности и неведомые органы вываливаются из раны. Пахнет свежими фруктами в розария.
71-75	Вы видите фигуру, закутанную в синий саван. Ее лицо скрыто темным капюшоном. От одного взгляда на нее ваша кожа покрывается мурашками, а содержимое вашего желудка подступает к горлу. Голосом, напоминающем тысячи шелестящих панцирей насекомых, фигура спрашивает вас: "Хочешь видеть истину?" Если вы согласитесь она покажет вам темное, почти черное место, чьи границы наполнены тысячами огней, разбросанными и потерянными среди бледных многоцветных пятен. Из тьмы вам навстречу выплывает бледная, мраморная сфера. Чем ближе она к вам, или вы к ней, тем яснее становится что ее казалось бы идеальная поверхность покрыта сетью трещин и разломов. Совершить проверку Интеллекта (Религия), любой результат, кроме Крита, оканчивает ведение.
76-80	Ваш язык горит невыносимым жаром. Раскрыв рот, вы выплевываете содержимое вашего рта на пол, вы чувствуете запах горелой плоти, ваша слюна все еще кипят и пузырится. На полу остывает оранжевый кусок металла, принимая форму свернувшейся многоножки. Под ее брюхом вздуваются тысячи яиц.
71-75	Вы вскрываете плоть своего живота, отбрасывает прочь кишечник и достаете глиняную урну. Разбив ее, внутри вы обнаружите, среди осколков керамики и высушенных цветов, мумифицированный мочевой пузырь. Вскрыв его своими собственными зубами внутри вы обнаружите свое собственное лицо, уставившееся прямо на вас. Выдавив его глаза, вы выпустите облако лилового дыма и душераздирающий крик.
81-85	Все это время в углу комнаты, под камнем или вашем кармане, находилась соломенная кукла. Что вам остается делать кроме как сжечь его? Стоит углям остыть из пепла поднимается юное дитя, посланник высших сил. Дитя предупреждает вас о грядущей напасти.
86-90	Раздается раскат грома, подобный падающей в море скале. Сверху ливнем начинают сыпаться нечестивые создания, чья форма постоянно меняются. Они прыгают, ползают и водят своими языками по вашей плоти, оставляя жгучие синие рубцы. Не разрываю поверхности вашей кожи из рубцов выходят еще больше существ. 
91-95	Вы оказываетесь в темной комнате. Все предметы интерьера окрашены в бордовый цвет, пол устлан пылью. В комнате нет ни дверей, ни окон. В центре комнаты стоит небольшой сундук, на сундуке одинокая лампа. В самом темном углу комнаты стоит изуродованное существо, когда-то раньше бывшее человеком. Существо готово исполнить одно ваше единственное желание.
96-00	Комната вокруг вас начинает медленно увеличиваться. Или быть может вы начинаете уменьшаться. Вы медленно плывете среди бесконечной пустоты. На другом конце что-то циклопической готовится поглотить вас целиком. Сама мысль об этом наполняет вас приводит в экстаз.



01	Вы медленно плывете в бесконечной пустоте. На другом конце что-то циклопической готовится поглотить вас целиком. Сама мысль об этом наполняет вас ужасом/приводит в экстаз.shadow of the torturer comic
02	По всему вашему телу вскакивают полупрозрачные желтые волдыри. И внутри них шевелятся крошечные существа.
03	Вы оказываетесь в темной комнате. Все предметы интерьера окрашены в бордовый цвет, пол устлан пылью. В комнате нет ни дверей, ни окон. В центре комнаты стоит небольшой сундук, на сундуке одинокая лампа. В самом темном углу комнаты стоит изуродованное существо, когда-то раньше бывшее человеком. Существо готово исполнить одно ваше единственное желание.
04	Раздается раскат грома, подобный падающей в море скале. Сверху ливнем начинают сыпаться нечестивые создания, чья форма постоянно меняются. Они прыгают, ползают и водят своими языками по вашей плоти, оставляя жгучие синие рубцы. Не разрываю поверхности вашей кожи из рубцов выходят еще больше существ. 
05	Все это время в углу комнаты, под камнем или вашем кармане, находилась соломенная кукла. Что вам остается делать кроме как сжечь его? Стоит углям остыть из пепла поднимается юное дитя, посланник высших сил. Дитя предупреждает вас о грядущей напасти.
06	Плиты пола под вашими ногами раскалываются. Из разлома поднимается облако оранжевой гнили, и ее глубины заполнены тьмой. Вдохнувшие его начинают в биться в припадках и приступах и разговаривать на незнакомых языках.
07	Из пор вашей кожи, подобно волосом, вырастают, подобно щетины, тысячи ножек насекомых. Вы ломаете их и изнутри течет кровь умерших младенцев. Пахнет как забвение.
08	Глаза-колодцы, наполненные смолой и дегтем, отрываются на вашей груди. Глядя на случайного компаньона, вы понимаете, он планирует предать вас. Как же раньше вы этого не видели?
09	Глубокие раны открываются на вашем теле. Будто бы металлические шипы вгоняют прямо в вашу плоть. Раны продолжают увеличиваться и из них начинает сочится темная и вязкая  кровь.
10	Саранча, цвета бронзы и стали, начинает сочится из пор вашей кожи. Облаком они окружают вас. По пришествию вечности они забираются обратно.
11	Слезы из крови и слизи начинают сочится из ваших глаз. Стоит им оторваться от вашего лица, они устремляются к небу.
12	Вы вскрываете плоть своего живота, отбрасывает прочь кишечник и достаете глиняную урну. Разбив ее, внутри вы обнаружите, среди осколков керамики и высушенных цветов, мумифицированный мочевой пузырь. Вскрыв его своими собственными зубами внутри вы обнаружите свое собственное лицо, уставившееся прямо на вас. Выдавив его глаза, вы выпустите облако лилового дыма и душераздирающий крик.
13	Ваш язык горит невыносимым жаром. Раскрыв рот, вы выплевываете содержимое вашего рта на пол, вы чувствуете запах горелой плоти, ваша слюна все еще кипят и пузырится. На полу остывает оранжевый кусок металла, принимая форму свернувшейся многоножки. Под ее брюхом вздуваются тысячи яиц.
14	Ваши глаза начинают натурально выкипать из глазниц, будто бы из заполнили кислотой. Вы начинаете чувствовать эмоции и намерения людей вокруг, но зрение покидает вас.
115	Вы видите фигуру, закутанную в синий саван. Ее лицо скрыто темным капюшоном. От одного взгляда на нее ваша кожа покрывается мурашками, а содержимое вашего желудка подступает к горлу. Голосом, напоминающем тысячи шелестящих панцирей насекомых, фигура спрашивает вас: "Хочешь видеть истину?" Если вы согласитесь она покажет вам темное, почти черное место, чьи границы наполнены тысячами огней, разбросанными и потерянными среди бледных многоцветных пятен. Из тьмы вам навстречу выплывает бледная, мраморная сфера. Чем ближе она к вам, или вы к ней, тем яснее становится что ее казалось бы идеальная поверхность покрыта сетью трещин и разломов. Совершить проверку Интеллекта (Религия), любой результат, кроме Крита, оканчивает ведение.
16	Из глубин вашего желудка вы выблевываете наружу сотни золотых монет, которые немедленно вплавляются в пол.
17	Все вокруг 60 фт. от вас погружается в полную непроглядную тьму. И что-то движется внутри нее.
18	Вздувшаяся, фут длиной, личинка, покрытая сотнями черных глаз, выползает из глубин вашей глотки. Пальцы, подобные щупальцам неведомых растений и покрытые мелкой щетиной, окружают сегмент ее головы. Она откидывается на спину и ее желудок разделяется надвое, чистым прямым разрезом, вздутые внутренности и неведомые органы вываливаются из раны. Пахнет свежими фруктами в розария.
19	Над вашей головой разверзлась голубая пустота. Вокруг вас кружат стаи радужных птиц.
20	Вы в одиночку съели все сладкое из кладовой и теперь за это вас отчитывает родительская фигура.
21	Крошечный человечек, размером с ваш палец, танцует веселый танец на поверхности вашей ладони.
22	Сотни маленьких насекомых ползают по вашей коже.
23	Стены и потолок начинают сдвигаться.
24	Вам кажется что вы начинаете таять, сверху вниз, образовывая лужу бурлящей жидкости под вашими ногами.
25	Ваше оружие превратилось в змею и начинают медленно сдавливать и душить вас.
26	У вас складывается впечатление что вы можете пускать лучи магической энергии из ваших глаз.
27	Внезапно все становятся намного выше вас.
28	Осуждающий шепот окружает вас со всех сторон.
29	Вы слышите прекрасную, яркую музыку, побуждающие вас на дикий танец и пляску.
30	Невероятная философская мысль, — прозрение о смысле жизни, пронзает ваше сознание. Но как бы вы не старались сформировать или описать ее получается полная белиберда.
31	Все вокруг выглядят и звучат точно так же как и вы.
32	Вас охватывает волна ужаса. Ваши ногти, зубы и волос внезапно готовы выпасть в любой момент.
33	Вы верите, что стали могущественным Божеством и ожидаете, что другие должны поклонятся вам
34	Ваша одежда начинает излучать волны жара, а кожа начинает зудеть. Вы должны немедленно снять ее.
35	Вы испытываете глубокую, необъяснимую привязанность к члену партии или персонажу, с которым вы обычно не ладите.
36	Сила тяжести перестала работать, если вы не закрепитесь, вы уплывете прочь.
37	Вы преодолены стремлением исполнять импровизированную поэзию для окружающих.
38	Вы испытываете полную эго-смерть и принимаете позы эмбриона.

?06	You and those within 60' who don't save vs. Magic experience the agonising birth of your god for the next 2d6 rounds. They just want you to know how much they went through for you, and you've let them down.
?13	The integrity of the Mystic's flesh becomes dubious, they feel numb and lesions break out across their skin. For the next d6 days they take double damage. Every time they curse their god there is a 10% chance of the condition lasting a further d6 days.
